,Index_ARGP820103amino_acid_compositionconjoint_triad,ARGP820103amino_acid_compositionconjoint_triad
155,conjoint_triad_265,0.0
156,conjoint_triad_112,0.0
157,conjoint_triad_111,0.0
158,conjoint_triad_110,0.0
159,conjoint_triad_109,0.0
160,conjoint_triad_267,0.0
161,conjoint_triad_276,0.0
162,conjoint_triad_269,0.0
163,conjoint_triad_270,0.0
164,conjoint_triad_271,0.0
165,conjoint_triad_105,0.0
166,conjoint_triad_104,0.0
167,conjoint_triad_103,0.0
168,conjoint_triad_102,0.0
169,conjoint_triad_272,0.0
170,conjoint_triad_273,0.0
171,conjoint_triad_274,0.0
172,conjoint_triad_98,0.0
173,conjoint_triad_97,0.0
174,conjoint_triad_288,0.0
175,conjoint_triad_289,0.0
176,conjoint_triad_290,0.0
177,conjoint_triad_291,0.0
178,conjoint_triad_325,0.0
179,conjoint_triad_326,0.0
180,conjoint_triad_327,0.0
181,conjoint_triad_328,0.0
182,conjoint_triad_329,0.0
183,conjoint_triad_56,0.0
184,conjoint_triad_330,0.0
185,conjoint_triad_331,0.0
186,conjoint_triad_332,0.0
187,conjoint_triad_333,0.0
188,conjoint_triad_334,0.0
189,conjoint_triad_335,0.0
190,conjoint_triad_336,0.0
191,conjoint_triad_337,0.0
192,conjoint_triad_49,0.0
193,conjoint_triad_48,0.0
194,conjoint_triad_47,0.0
195,conjoint_triad_338,0.0
196,conjoint_triad_46,0.0
197,conjoint_triad_45,0.0
198,conjoint_triad_44,0.0
199,conjoint_triad_43,0.0
200,conjoint_triad_42,0.0
201,conjoint_triad_339,0.0
202,conjoint_triad_340,0.0
203,conjoint_triad_341,0.0
204,conjoint_triad_342,0.0
205,conjoint_triad_323,0.0
206,conjoint_triad_322,0.0
207,conjoint_triad_321,0.0
208,conjoint_triad_305,0.0
209,conjoint_triad_292,0.0
210,conjoint_triad_293,0.0
211,conjoint_triad_294,0.0
212,conjoint_triad_295,0.0
213,conjoint_triad_297,0.0
214,conjoint_triad_298,0.0
215,conjoint_triad_299,0.0
216,conjoint_triad_300,0.0
217,conjoint_triad_301,0.0
218,conjoint_triad_302,0.0
219,conjoint_triad_303,0.0
220,conjoint_triad_304,0.0
221,conjoint_triad_306,0.0
222,conjoint_triad_320,0.0
223,conjoint_triad_307,0.0
224,conjoint_triad_308,0.0
225,conjoint_triad_309,0.0
226,conjoint_triad_311,0.0
227,conjoint_triad_312,0.0
228,conjoint_triad_313,0.0
229,conjoint_triad_314,0.0
230,conjoint_triad_315,0.0
231,conjoint_triad_316,0.0
232,conjoint_triad_317,0.0
233,conjoint_triad_318,0.0
234,conjoint_triad_319,0.0
235,conjoint_triad_122,0.0
236,conjoint_triad_124,0.0
237,conjoint_triad_229,0.0
238,conjoint_triad_179,0.0
239,conjoint_triad_203,0.0
240,conjoint_triad_202,0.0
241,conjoint_triad_201,0.0
242,conjoint_triad_200,0.0
243,conjoint_triad_199,0.0
244,conjoint_triad_198,0.0
245,conjoint_triad_197,0.0
246,conjoint_triad_196,0.0
247,conjoint_triad_195,0.0
248,conjoint_triad_194,0.0
249,conjoint_triad_193,0.0
250,conjoint_triad_238,0.0
251,conjoint_triad_239,0.0
252,conjoint_triad_192,0.0
253,conjoint_triad_191,0.0
254,conjoint_triad_240,0.0
255,conjoint_triad_190,0.0
256,conjoint_triad_189,0.0
257,conjoint_triad_188,0.0
258,conjoint_triad_241,0.0
259,conjoint_triad_187,0.0
260,conjoint_triad_186,0.0
261,conjoint_triad_185,0.0
262,conjoint_triad_184,0.0
263,conjoint_triad_183,0.0
264,conjoint_triad_182,0.0
265,conjoint_triad_181,0.0
266,conjoint_triad_237,0.0
267,conjoint_triad_236,0.0
268,conjoint_triad_206,0.0
269,conjoint_triad_235,0.0
270,conjoint_triad_228,0.0
271,conjoint_triad_227,0.0
272,conjoint_triad_226,0.0
273,conjoint_triad_225,0.0
274,conjoint_triad_231,0.0
275,conjoint_triad_232,0.0
276,conjoint_triad_224,0.0
277,conjoint_triad_223,0.0
278,conjoint_triad_233,0.0
279,conjoint_triad_234,0.0
280,conjoint_triad_222,0.0
281,conjoint_triad_221,0.0
282,conjoint_triad_220,0.0
283,conjoint_triad_207,0.0
284,conjoint_triad_219,0.0
285,conjoint_triad_218,0.0
286,conjoint_triad_217,0.0
287,conjoint_triad_216,0.0
288,conjoint_triad_215,0.0
289,conjoint_triad_214,0.0
290,conjoint_triad_213,0.0
291,conjoint_triad_212,0.0
292,conjoint_triad_211,0.0
293,conjoint_triad_210,0.0
294,conjoint_triad_209,0.0
295,conjoint_triad_208,0.0
296,conjoint_triad_180,0.0
297,conjoint_triad_178,0.0
298,conjoint_triad_125,0.0
299,conjoint_triad_177,0.0
300,conjoint_triad_253,0.0
301,conjoint_triad_147,0.0
302,conjoint_triad_146,0.0
303,conjoint_triad_145,0.0
304,conjoint_triad_144,0.0
305,conjoint_triad_256,0.0
306,conjoint_triad_142,0.0
307,conjoint_triad_141,0.0
308,conjoint_triad_140,0.0
309,conjoint_triad_139,0.0
310,conjoint_triad_138,0.0
311,conjoint_triad_137,0.0
312,conjoint_triad_136,0.0
313,conjoint_triad_257,0.0
314,conjoint_triad_135,0.0
315,conjoint_triad_134,0.0
316,conjoint_triad_258,0.0
317,conjoint_triad_259,0.0
318,conjoint_triad_133,0.0
319,conjoint_triad_132,0.0
320,conjoint_triad_260,0.0
321,conjoint_triad_131,0.0
322,conjoint_triad_130,0.0
323,conjoint_triad_129,0.0
324,conjoint_triad_262,0.0
325,conjoint_triad_127,0.0
326,conjoint_triad_126,0.0
327,conjoint_triad_252,0.0
328,conjoint_triad_251,0.0
329,conjoint_triad_151,0.0
330,conjoint_triad_167,0.0
331,conjoint_triad_242,0.0
332,conjoint_triad_176,0.0
333,conjoint_triad_41,0.0
334,conjoint_triad_243,0.0
335,conjoint_triad_174,0.0
336,conjoint_triad_173,0.0
337,conjoint_triad_172,0.0
338,conjoint_triad_244,0.0
339,conjoint_triad_245,0.0
340,conjoint_triad_170,0.0
341,conjoint_triad_169,0.0
342,conjoint_triad_168,0.0
343,conjoint_triad_166,0.0
344,conjoint_triad_152,0.0
345,conjoint_triad_165,0.0
346,conjoint_triad_246,0.0
347,conjoint_triad_163,0.0
348,conjoint_triad_161,0.0
349,conjoint_triad_160,0.0
350,conjoint_triad_159,0.0
351,conjoint_triad_158,0.0
352,conjoint_triad_248,0.0
353,conjoint_triad_249,0.0
354,conjoint_triad_250,0.0
355,conjoint_triad_154,0.0
356,conjoint_triad_153,0.0
357,conjoint_triad_175,0.0
358,ARGP820103_1,0.0
359,conjoint_triad_35,0.0
360,ARGP820103_96,0.0
361,ARGP820103_98,0.0
362,ARGP820103_99,0.0
363,ARGP820103_100,0.0
364,ARGP820103_101,0.0
365,ARGP820103_102,0.0
366,ARGP820103_103,0.0
367,ARGP820103_104,0.0
368,ARGP820103_105,0.0
369,ARGP820103_106,0.0
370,ARGP820103_107,0.0
371,ARGP820103_108,0.0
372,ARGP820103_109,0.0
373,ARGP820103_110,0.0
374,ARGP820103_111,0.0
375,ARGP820103_112,0.0
376,ARGP820103_97,0.0
377,ARGP820103_95,0.0
378,ARGP820103_114,0.0
379,ARGP820103_94,0.0
380,ARGP820103_79,0.0
381,ARGP820103_80,0.0
382,ARGP820103_81,0.0
383,ARGP820103_82,0.0
384,ARGP820103_83,0.0
385,ARGP820103_84,0.0
386,ARGP820103_85,0.0
387,ARGP820103_86,0.0
388,ARGP820103_87,0.0
389,ARGP820103_88,0.0
390,ARGP820103_89,0.0
391,ARGP820103_90,0.0
392,ARGP820103_91,0.0
393,ARGP820103_92,0.0
394,ARGP820103_93,0.0
395,ARGP820103_113,0.0
396,ARGP820103_115,0.0
397,ARGP820103_77,0.0
398,ARGP820103_139,0.0
399,ARGP820103_141,0.0
400,ARGP820103_142,0.0
401,ARGP820103_143,0.0
402,ARGP820103_144,0.0
403,ARGP820103_145,0.0
404,ARGP820103_146,0.0
405,ARGP820103_147,0.0
406,ARGP820103_148,0.0
407,ARGP820103_149,0.0
408,ARGP820103_150,0.0
409,ARGP820103_151,0.0
410,ARGP820103_152,0.0
411,ARGP820103_153,0.0
412,ARGP820103_154,0.0
413,ARGP820103_155,0.0
414,ARGP820103_140,0.0
415,ARGP820103_138,0.0
416,ARGP820103_116,0.0
417,ARGP820103_137,0.0
418,ARGP820103_117,0.0
419,ARGP820103_118,0.0
420,ARGP820103_119,0.0
421,ARGP820103_120,0.0
422,ARGP820103_123,0.0
423,ARGP820103_124,0.0
424,ARGP820103_127,0.0
425,ARGP820103_128,0.0
426,ARGP820103_130,0.0
427,ARGP820103_131,0.0
428,ARGP820103_132,0.0
429,ARGP820103_133,0.0
430,ARGP820103_134,0.0
431,ARGP820103_135,0.0
432,ARGP820103_136,0.0
433,ARGP820103_78,0.0
434,ARGP820103_76,0.0
435,conjoint_triad_34,0.0
436,ARGP820103_20,0.0
437,ARGP820103_22,0.0
438,ARGP820103_23,0.0
439,ARGP820103_24,0.0
440,ARGP820103_25,0.0
441,ARGP820103_26,0.0
442,ARGP820103_27,0.0
443,ARGP820103_28,0.0
444,ARGP820103_29,0.0
445,ARGP820103_30,0.0
446,ARGP820103_31,0.0
447,ARGP820103_32,0.0
448,ARGP820103_33,0.0
449,ARGP820103_34,0.0
450,ARGP820103_35,0.0
451,ARGP820103_36,0.0
452,ARGP820103_21,0.0
453,ARGP820103_19,0.0
454,ARGP820103_38,0.0
455,ARGP820103_18,0.0
456,ARGP820103_3,0.0
457,ARGP820103_4,0.0
458,ARGP820103_5,0.0
459,ARGP820103_6,0.0
460,ARGP820103_7,0.0
461,ARGP820103_8,0.0
462,ARGP820103_9,0.0
463,ARGP820103_10,0.0
464,ARGP820103_11,0.0
465,ARGP820103_12,0.0
466,ARGP820103_13,0.0
467,ARGP820103_14,0.0
468,ARGP820103_15,0.0
469,ARGP820103_16,0.0
470,ARGP820103_17,0.0
471,ARGP820103_37,0.0
472,ARGP820103_39,0.0
473,ARGP820103_75,0.0
474,ARGP820103_58,0.0
475,ARGP820103_60,0.0
476,ARGP820103_61,0.0
477,ARGP820103_62,0.0
478,ARGP820103_63,0.0
479,ARGP820103_64,0.0
480,ARGP820103_65,0.0
481,ARGP820103_66,0.0
482,ARGP820103_67,0.0
483,ARGP820103_68,0.0
484,ARGP820103_69,0.0
485,ARGP820103_70,0.0
486,ARGP820103_71,0.0
487,ARGP820103_72,0.0
488,ARGP820103_73,0.0
